Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13
0.90499997,0.6625872919999999,0.6516434,0.71419281,0.49952355,0.82467383,0.77917969,0.84730834,0.69921017,0.6344704,0.5960173,0.60791481,0.73491299,0.6448459,0.76384413,0.78116059,0.60959232,0.52051663,0.58737528,0.50714517,0.59247255,0.65574598,,,,,,,,,,,,,,
0.90600002,0.662570924,0.6515305,0.71405053,0.49935177,0.82475913,0.77907932,0.84738034,0.69907057,0.63467377,0.59605598,0.60810792,0.73476034,0.64450997,0.76364064,0.7812202,0.60973078,0.52064097,0.58753496,0.50724179,0.59242499,0.65565401,,,,,,,,,,,,,,
0.90700001,0.6625595704999999,0.65140086,0.71386403,0.49917707,0.82483995,0.77891684,0.84746397,0.69893241,0.63487512,0.59614497,0.60828072,0.73467404,0.64413595,0.76337755,0.78131407,0.60987204,0.52076602,0.58775365,0.50735885,0.59242195,0.65562135,,,,,,,,,,,,,,
0.90799999,0.6625488274999998,0.65126139,0.71364564,0.49900571,0.82492226,0.77870715,0.84755218,0.69879717,0.6350745,0.59628266,0.60847431,0.73464292,0.64375472,0.76307642,0.78143531,0.60995013,0.52083993,0.58801866,0.50744331,0.59244931,0.65564287,,,,,,,,,,,,,,
0.90899998,0.662545467,0.65111852,0.71340775,0.4988437,0.82501274,0.77846467,0.84764969,0.69866616,0.63527846,0.59646732,0.60868311,0.73465592,0.64339709,0.76275849,0.78157669,0.60998946,0.52090418,0.58831722,0.50751179,0.59249276,0.65571362,,,,,,,,,,,,,,
0.91000003,0.662567142,0.65097898,0.71316266,0.49869728,0.82511652,0.77820444,0.84776384,0.69854081,0.6354937,0.59669733,0.60889333,0.73470205,0.64309418,0.76244533,0.78173101,0.61008066,0.52104902,0.58863682,0.50768822,0.59253818,0.65582848,,,,,,,,,,,,,,
0.91100001,0.6626084615,0.65084922,0.71292251,0.4985725,0.82521957,0.77794075,0.84790021,0.69842249,0.63572067,0.59697115,0.60912931,0.73476988,0.64287651,0.76215804,0.78189135,0.61024082,0.52120245,0.5889647,0.50786358,0.59257126,0.65598226,,,,,,,,,,,,,,
0.912,0.662660818,0.65073609,0.71269977,0.4984757,0.82532704,0.77768874,0.84802443,0.6983127,0.63594979,0.597287,0.60936207,0.73484862,0.64277518,0.76191825,0.78205055,0.61040527,0.52132893,0.58928835,0.50798982,0.59257799,0.65617007,,,,,,,,,,,,,,
0.91299999,0.6627320495,0.65064609,0.71250653,0.49841279,0.82544166,0.77746272,0.8481378,0.69821262,0.63617343,0.59764326,0.60960132,0.73492706,0.64282089,0.76174718,0.78220147,0.61054182,0.52149659,0.58959496,0.50814205,0.59254402,0.65638673,,,,,,,,,,,,,,
0.91399997,0.6628166905,0.65058589,0.71235526,0.49839017,0.8255626,0.77727759,0.84825742,0.69812387,0.6363883,0.59803832,0.60986406,0.73499405,0.64304477,0.76166624,0.78233707,0.61062628,0.52160496,0.58987188,0.50826269,0.59245527,0.65662712,,,,,,,,,,,,,,
0.91500002,0.6629257849999999,0.65056145,0.71225524,0.49841186,0.82566679,0.77714497,0.84838963,0.69804716,0.63660568,0.59846842,0.61012131,0.73504204,0.64346308,0.76168996,0.78245223,0.61074352,0.52173597,0.59011018,0.50841582,0.59230399,0.6568864,,,,,,,,,,,,,,
0.91600001,0.6630682434999999,0.65057671,0.71220523,0.49847537,0.82578737,0.77706611,0.84852105,0.69798243,0.63682687,0.59892213,0.61039472,0.73507619,0.6440438,0.76180977,0.78254914,0.61093724,0.52196479,0.59031272,0.50864822,0.59210515,0.65715986,,,,,,,,,,,,,,
0.917,0.6632312930000002,0.65063506,0.71220219,0.49857676,0.82593113,0.77704,0.84865826,0.69792885,0.63705754,0.59938693,0.61067778,0.73510391,0.64474434,0.76201183,0.78263134,0.61113691,0.52221477,0.59048516,0.50888181,0.59187818,0.65744311,,,,,,,,,,,,,,
0.91799998,0.6634065060000001,0.65073973,0.71224272,0.49871212,0.82608902,0.77706593,0.8488149,0.69788587,0.63730115,0.59984988,0.61095405,0.73513287,0.64552182,0.76228249,0.78270239,0.6113019,0.52242613,0.59063292,0.50909978,0.59164286,0.65773159,,,,,,,,,,,,,,
