Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
1.801,0.2962133875,0.36111006,0.83314055,0.12648411,0.12516496,0.1640242,0.20103873,0.26722699,0.35477147,0.41056964,0.15190202,0.12529209,0.43383583,0.22133405375,0.12237506,0.13645871,0.15433295,0.20028785,0.24981713,0.36849284,0.42115515,0.11775274
1.802,0.29628613416666666,0.36086771,0.83279514,0.12645693,0.12524006,0.16392015,0.20145467,0.26735815,0.3558577,0.41065967,0.15190722,0.12503192,0.43388429,0.22141099749999998,0.12239756,0.13648979,0.15440534,0.20039636,0.2499398,0.36863545,0.42123252,0.11779116
1.803,0.2963627566666666,0.36065105,0.83247459,0.12642317,0.12534536,0.16383913,0.20194522,0.26746953,0.35694495,0.41068235,0.1519182,0.12478078,0.43387875,0.22148911000000004,0.12242203,0.13652004,0.15447867,0.20050286,0.25006253,0.36878002,0.42131737,0.11782936
1.804,0.29643702,0.36047584,0.83219481,0.12638342,0.12547307,0.16379631,0.20246664,0.2675603,0.35795754,0.41063297,0.15191731,0.12455285,0.43383318,0.22156815125,0.12244843,0.13655029,0.15455291,0.20060749,0.25018558,0.36892641,0.42140776,0.11786634
1.8049999,0.2965081508333333,0.36035424,0.83196843,0.12633821,0.12561497,0.16380367,0.20297971,0.26763049,0.3588303,0.41051015,0.15194634,0.12436,0.4337613,0.22164794625,0.12247646,0.1365815,0.15462793,0.20071082,0.25030914,0.36907446,0.42150208,0.11790118
1.806,0.29656843250000003,0.36029217,0.83180249,0.12628783,0.12576275,0.16386773,0.20345411,0.26768163,0.35951784,0.41031748,0.1519518,0.12420992,0.43367544,0.221728485,0.12250566,0.13661467,0.15470345,0.20081387,0.25043347,0.36922407,0.42159951,0.11793318
1.807,0.29661309333333336,0.36028793,0.83169699,0.12623237,0.12590793,0.16398831,0.20387045,0.26771691,0.35999903,0.41006482,0.15190072,0.12410521,0.43358645,0.22180987375,0.12253553,0.13665067,0.15477894,0.20091803,0.25055876,0.36937496,0.42170018,0.11796192
1.808,0.29664447,0.36033297,0.83164561,0.12617168,0.12604199,0.16415907,0.20421979,0.26774123,0.36027515,0.40976751,0.15183157,0.12404377,0.4335033,0.22189238374999998,0.12256566,0.13669017,0.15485375,0.20102496,0.25068524,0.36952701,0.42180496,0.11798732
1.809,0.29666289500000004,0.36041376,0.83163768,0.12610546,0.12615651,0.16436946,0.20450079,0.2677604,0.36036351,0.40944457,0.15174863,0.12402017,0.4334338,0.22197640500000002,0.1225959,0.1367335,0.15492727,0.20113641,0.25081322,0.36968002,0.42191526,0.11800966
1.8099999,0.2966753325,0.36051431,0.83166003,0.12603334,0.12624313,0.16460657,0.20471609,0.26778084,0.36028999,0.40911704,0.15173051,0.12402721,0.43338493,0.222062335,0.1226263,0.13678065,0.15499902,0.20125397,0.25094301,0.36983386,0.42203236,0.11802951
